minimum_nights,number_of_reviews,reviews_per_month,Price
15.0,1.0,0.02,55
1.0,160.0,4.31,129
5.0,8.0,0.77,35
1.0,0.0,0.0,50
5.0,0.0,0.0,350
4.0,77.0,2.45,150
4.0,126.0,1.16,219
3.0,21.0,0.86,67
25.0,3.0,0.05,130
1.0,119.0,3.29,150
3.0,1.0,0.05,200
3.0,24.0,0.4,80
3.0,154.0,1.63,130
3.0,55.0,3.68,79
1.0,5.0,0.1,160
1.0,55.0,1.46,75
3.0,88.0,3.36,78
3.0,11.0,0.19,125
1.0,2.0,2.0,290
5.0,1.0,0.07,120
30.0,2.0,0.07,160
5.0,0.0,0.0,82
2.0,21.0,2.04,60
2.0,10.0,0.13,250
2.0,8.0,0.37,325
2.0,56.0,5.62,32
2.0,20.0,0.42,210
2.0,36.0,1.6,40
30.0,0.0,0.0,200
3.0,70.0,2.9,139
1.0,50.0,0.5,229
1.0,102.0,2.56,89
3.0,480.0,6.7,60
1.0,0.0,0.0,170
20.0,1.0,0.08,41
4.0,0.0,0.0,95
31.0,0.0,0.0,50
15.0,6.0,0.49,160
2.0,6.0,1.48,196
1.0,141.0,2.99,70
2.0,34.0,1.89,60
7.0,17.0,1.27,50
3.0,31.0,0.73,83
3.0,14.0,1.24,36
30.0,3.0,0.06,115
5.0,8.0,0.25,120
29.0,2.0,0.29,40
1.0,14.0,2.02,68
2.0,97.0,2.03,80
1.0,1.0,0.02,150
2.0,0.0,0.0,180
1.0,22.0,5.64,67
1.0,5.0,0.27,100
4.0,19.0,0.24,69
25.0,20.0,0.9,65
3.0,20.0,0.54,30
1.0,180.0,4.88,125
3.0,1.0,1.0,200
1.0,0.0,0.0,180
14.0,7.0,0.15,67
3.0,4.0,0.63,250
1.0,21.0,0.86,50
30.0,6.0,0.07,275
30.0,0.0,0.0,225
5.0,69.0,2.62,90
3.0,20.0,0.92,496
2.0,15.0,2.81,65
4.0,5.0,0.13,194
3.0,42.0,1.22,65
1.0,7.0,0.14,80
2.0,84.0,3.19,65
1.0,4.0,0.36,77
2.0,68.0,2.33,100
10.0,51.0,0.86,120
2.0,69.0,5.27,150
3.0,81.0,0.71,140
1.0,6.0,6.0,85
2.0,110.0,4.75,120
1.0,41.0,1.62,49
1.0,18.0,0.31,175
2.0,2.0,0.06,80
30.0,0.0,0.0,165
1.0,222.0,4.98,85
6.0,14.0,0.53,85
4.0,34.0,1.23,56
1.0,4.0,0.64,140
3.0,26.0,0.32,130
2.0,19.0,1.58,130
2.0,4.0,0.11,115
1.0,0.0,0.0,400
2.0,19.0,1.51,171
2.0,134.0,2.95,150
2.0,143.0,2.13,53
1.0,8.0,0.75,79
3.0,1.0,0.04,112
2.0,22.0,6.23,300
1.0,194.0,5.88,65
3.0,10.0,0.43,199
30.0,0.0,0.0,200
1.0,3.0,0.11,30
1.0,105.0,4.57,200
2.0,3.0,0.07,127
5.0,70.0,0.88,42
1.0,54.0,3.07,60
2.0,29.0,0.86,103
1.0,14.0,0.83,37
2.0,2.0,0.11,150
20.0,2.0,0.42,27
3.0,70.0,1.51,300
30.0,2.0,0.82,55
1.0,161.0,4.42,110
2.0,50.0,1.15,110
2.0,3.0,0.08,99
2.0,5.0,1.53,60
2.0,8.0,2.42,40
5.0,0.0,0.0,150
3.0,20.0,0.59,115
1.0,129.0,3.75,99
2.0,4.0,1.08,188
30.0,3.0,0.08,129
27.0,0.0,0.0,337
3.0,0.0,0.0,73
1.0,109.0,1.11,95
1.0,6.0,0.57,43
2.0,12.0,3.4,130
25.0,8.0,0.36,80
3.0,24.0,0.71,200
3.0,0.0,0.0,400
1.0,27.0,0.28,165
3.0,0.0,0.0,150
30.0,0.0,0.0,145
1.0,4.0,0.21,85
1.0,4.0,0.12,42
2.0,5.0,0.24,90
